customer_id,name,age,gender,owns_car,owns_house,no_of_children,net_yearly_income,no_of_days_employed,occupation_type,total_family_members,migrant_worker,yearly_debt_payments,credit_limit,credit_limit_used(%),credit_score,prev_defaults,default_in_last_6months,credit_card_default
CST_143895,Mirna,34,1,1,0,1.0,241751.55,3044.0,Unknown,3.0,1.0,16568.29,34138.68,21,897.0,0,0,0.0
CST_124177,Smith Douglas,53,0,1,0,0.0,308712.07,5547.0,Sales staff,1.0,0.0,35362.25,74242.46,20,670.0,0,0,0.0
CST_154212,Marsh,48,0,0,1,0.0,71603.94,451.0,Cleaning staff,1.0,0.0,16140.65,10926.23,30,662.0,0,0,0.0
CST_131569,Tim,49,0,1,0,0.0,162331.01,5424.0,Sales staff,2.0,0.0,32132.05,48369.73,8,926.0,0,0,0.0
CST_140361,en,30,0,1,0,0.0,219773.41,2256.0,Unknown,2.0,0.0,16868.46,58695.23,39,832.0,0,0,0.0
CST_137195,Ernest,47,1,0,1,0.0,127761.08,1806.0,Laborers,2.0,1.0,9153.11,28188.88,14,719.0,0,0,0.0
CST_130400,Stanley,27,1,1,1,0.0,142154.73,1068.0,Laborers,2.0,0.0,10933.58,31126.06,97,675.0,0,0,1.0
CST_120173,Taro Fuse,47,0,0,1,0.0,124583.49,3488.0,Unknown,2.0,0.0,30336.15,33139.76,51,701.0,0,0,0.0
CST_119605,Olivia Oran,25,1,0,0,1.0,274974.7,269.0,Laborers,3.0,0.0,34208.68,68833.32,42,667.0,0,0,0.0
CST_145478,Jessica,44,0,0,0,0.0,101328.33,2704.0,High skill tech staff,1.0,0.0,9161.41,19901.33,79,853.0,0,0,0.0
CST_150360,da,24,1,1,0,2.0,172689.67,545.0,Unknown,4.0,1.0,14169.29,52331.24,62,946.0,0,0,0.0
CST_156578,Holton,47,1,0,1,2.0,243906.29,806.0,Sales staff,4.0,1.0,24006.24,46028.2,49,946.0,0,0,0.0
CST_129615,Nick,49,1,1,0,0.0,139193.57,4462.0,Unknown,2.0,0.0,24523.44,26701.92,70,818.0,0,0,0.0
CST_140450,ernie,42,0,1,1,0.0,123001.03,6432.0,Sales staff,2.0,1.0,38649.27,36291.27,50,766.0,0,0,0.0
